Year,State,Population
1970,Johor,2651100
1970,Kedah,1979000
1970,Kelantan,1414600
1970,Melaka,838800
1970,Negeri Sembilan,1000800
1970,Pahang,1047599
1970,Perak,3262900
1970,Perlis,251000
1970,Pulau Pinang,1617200
1970,Sabah,1396200
1970,Sarawak,2074000
1970,Selangor,3392800
1970,Terengganu,837600
1971,Johor,2710800
1971,Kedah,2007800
1971,Kelantan,1447300
1971,Melaka,849800
1971,Negeri Sembilan,1016400
1971,Pahang,1096800
1971,Perak,3301800
1971,Perlis,254900
1971,Pulau Pinang,1647400
1971,Sabah,1456200
1971,Sarawak,2130400
1971,Selangor,3541800
1971,Terengganu,857900
1972,Johor,2770600
1972,Kedah,2034500
1972,Kelantan,1482200
1972,Melaka,859700
1972,Negeri Sembilan,1031800
1972,Pahang,1148000
1972,Perak,3338700
1972,Perlis,259397
1972,Pulau Pinang,1677800
1972,Sabah,1519100
1972,Sarawak,2188500
1972,Selangor,3693300
1972,Terengganu,879100
1973,Johor,2829000
1973,Kedah,2057999
1973,Kelantan,1518900
1973,Melaka,868400
1973,Negeri Sembilan,1045699
1973,Pahang,1198600
1973,Perak,3372000
1973,Perlis,263500
1973,Pulau Pinang,1705800
1973,Sabah,1584900
1973,Sarawak,2248200
1973,Selangor,3844800
1973,Terengganu,902000
1974,Johor,2888800
1974,Kedah,2082099
1974,Kelantan,1553600
1974,Melaka,876300
1974,Negeri Sembilan,1060000
1974,Pahang,1252000
1974,Perak,3405400
1974,Perlis,267600
1974,Pulau Pinang,1733400
1974,Sabah,1653800
1974,Sarawak,2309500
1974,Selangor,3995900
1974,Terengganu,924100
1975,Johor,2954000
1975,Kedah,2109800
1975,Kelantan,1592200
1975,Melaka,886200
1975,Negeri Sembilan,1075200
1975,Pahang,1306800
1975,Perak,3441800
1975,Perlis,272400
1975,Pulau Pinang,1763300
1975,Sabah,1726000
1975,Sarawak,2372400
1975,Selangor,4150600
1975,Terengganu,949800
1976,Johor,3016800
1976,Kedah,2130800
1976,Kelantan,1628200
1976,Melaka,894600
1976,Negeri Sembilan,1088600
1976,Pahang,1360800
1976,Perak,3473400
1976,Perlis,276700
1976,Pulau Pinang,1792800
1976,Sabah,1796200
1976,Sarawak,2435000
1976,Selangor,4308600
1976,Terengganu,973800
1977,Johor,3083800
1977,Kedah,2159600
1977,Kelantan,1668300
1977,Melaka,904200
1977,Negeri Sembilan,1103600
1977,Pahang,1419100
1977,Perak,3511200
1977,Perlis,282000
1977,Pulau Pinang,1824300
1977,Sabah,1869700
1977,Sarawak,2499100
1977,Selangor,4475400
1977,Terengganu,1001800
1978,Johor,3146800
1978,Kedah,2181800
1978,Kelantan,1705000
1978,Melaka,912400
1978,Negeri Sembilan,1117400
1978,Pahang,1476400
1978,Perak,3543000
1978,Perlis,286400
1978,Pulau Pinang,1851400
1978,Sabah,1946399
1978,Sarawak,2565000
1978,Selangor,4641800
1978,Terengganu,1026799
1979,Johor,3212800
1979,Kedah,2206800
1979,Kelantan,1747400
1979,Melaka,921600
1979,Negeri Sembilan,1132800
1979,Pahang,1536800
1979,Perak,3578200
1979,Perlis,291600
1979,Pulau Pinang,1880900
1979,Sabah,2026600
1979,Sarawak,2632800
1979,Selangor,4814600
1979,Terengganu,1054000
1980,Johor,3292300
1980,Kedah,2239800
1980,Kelantan,1791400
1980,Melaka,933800
1980,Negeri Sembilan,1153400
1980,Pahang,1604100
1980,Perak,3614800
1980,Perlis,297300
1980,Pulau Pinang,1921400
1980,Sabah,2110200
1980,Sarawak,2702200
1980,Selangor,3048200
1980,Terengganu,1083400
1980,W.P. Kuala Lumpur,1965800
1981,Johor,3378600
1981,Kedah,2280400
1981,Kelantan,1841000
1981,Melaka,945200
1981,Negeri Sembilan,1174400
1981,Pahang,1641100
1981,Perak,3676500
1981,Perlis,303200
1981,Pulau Pinang,1950900
1981,Sabah,2239200
1981,Sarawak,2760400
1981,Selangor,3189100
1981,Terengganu,1121500
1981,W.P. Kuala Lumpur,2012100
1982,Johor,3469200
1982,Kedah,2323600
1982,Kelantan,1894200
1982,Melaka,957400
1982,Negeri Sembilan,1197800
1982,Pahang,1684600
1982,Perak,3733500
1982,Perlis,309800
1982,Pulau Pinang,1981900
1982,Sabah,2373000
1982,Sarawak,2820700
1982,Selangor,3336600
1982,Terengganu,1162900
1982,W.P. Kuala Lumpur,2057000
1983,Johor,3560400
1983,Kedah,2367700
1983,Kelantan,1949200
1983,Melaka,969600
1983,Negeri Sembilan,1222500
1983,Pahang,1729500
1983,Perak,3782200
1983,Perlis,316400
1983,Pulau Pinang,2012400
1983,Sabah,2510200
1983,Sarawak,2881300
1983,Selangor,3487600
1983,Terengganu,1205900
1983,W.P. Kuala Lumpur,2101400
1984,Johor,3651600
1984,Kedah,2412200
1984,Kelantan,2005200
1984,Melaka,982400
1984,Negeri Sembilan,1247700
1984,Pahang,1777400
1984,Perak,3824600
1984,Perlis,323400
1984,Pulau Pinang,2042100
1984,Sabah,2651300
